epoch,loss,acc,F_value, precision,recall,auc,aupr,mcc,threadhold
001,0.362552,0.646442,0.286980,0.189384,0.592124,0.664160,0.190001,0.165149,0.190000
002,0.353238,0.734494,0.317846,0.229899,0.514768,0.692442,0.214660,0.204761,0.210000
003,0.344048,0.754267,0.345635,0.254136,0.540084,0.723715,0.258204,0.241293,0.160000
004,0.371709,0.746662,0.342832,0.249045,0.549930,0.731152,0.279670,0.238212,0.300000
005,0.340661,0.766098,0.350235,0.262861,0.524613,0.729021,0.268519,0.246500,0.130000
006,0.374848,0.725706,0.330169,0.233645,0.562588,0.700692,0.255728,0.222696,0.100000
007,0.334342,0.788913,0.372677,0.289844,0.521800,0.752443,0.285625,0.274180,0.230000
008,0.355490,0.784519,0.342445,0.270358,0.466948,0.723150,0.270973,0.236392,0.260000
009,0.352725,0.796180,0.366597,0.292540,0.490858,0.747837,0.283209,0.266416,0.330000
010,0.341041,0.788237,0.359079,0.282154,0.493671,0.736700,0.284385,0.257052,0.210000
011,0.330850,0.803279,0.388655,0.310142,0.520394,0.764144,0.293922,0.293622,0.230000
012,0.332437,0.789251,0.374310,0.290952,0.524613,0.758365,0.303525,0.276245,0.240000
013,0.372285,0.814264,0.327829,0.290043,0.376934,0.694561,0.252166,0.224758,0.270000
014,0.340802,0.828798,0.393776,0.342708,0.462729,0.755213,0.308487,0.301204,0.340000
015,0.325842,0.814602,0.383361,0.319288,0.479606,0.756618,0.306390,0.287410,0.240000
016,0.338669,0.809532,0.392453,0.318182,0.511955,0.761673,0.317183,0.298154,0.290000
017,0.340878,0.828122,0.391382,0.340625,0.459916,0.761348,0.316115,0.298384,0.350000
018,0.332618,0.822714,0.375223,0.325413,0.443038,0.753649,0.290321,0.279177,0.240000
019,0.339997,0.837249,0.390892,0.355172,0.434599,0.763347,0.330175,0.300085,0.250000
020,0.335582,0.816292,0.399779,0.329091,0.509142,0.768869,0.313659,0.307058,0.260000
021,0.349425,0.811560,0.384997,0.316697,0.490858,0.768626,0.315388,0.289166,0.170000
022,0.334424,0.823559,0.399310,0.337877,0.488045,0.773166,0.313258,0.306856,0.310000
023,0.322964,0.821024,0.395893,0.333013,0.488045,0.778299,0.326737,0.302648,0.250000
024,0.329193,0.827784,0.400235,0.344130,0.478200,0.769615,0.332967,0.308389,0.270000
025,0.322509,0.831502,0.427341,0.361165,0.523207,0.785702,0.371698,0.340278,0.310000
026,0.326195,0.843840,0.403871,0.373063,0.440225,0.780820,0.338804,0.316155,0.350000
027,0.365318,0.789082,0.392405,0.300074,0.566807,0.773720,0.352017,0.299823,0.110000
028,0.329994,0.828460,0.400473,0.345214,0.476793,0.782136,0.336009,0.308751,0.200000
029,0.338336,0.821531,0.393103,0.332362,0.481013,0.776790,0.328124,0.299434,0.170000
030,0.328651,0.813250,0.410667,0.330756,0.541491,0.779167,0.335357,0.320518,0.140000
031,0.328942,0.835559,0.412794,0.361522,0.481013,0.786884,0.344650,0.323820,0.220000
032,0.321806,0.824911,0.417323,0.347704,0.521800,0.786150,0.346347,0.328236,0.180000
033,0.314651,0.856853,0.413841,0.407357,0.420534,0.790097,0.351847,0.332390,0.370000
034,0.336091,0.825080,0.427227,0.352190,0.542897,0.790166,0.343064,0.340244,0.280000
035,0.315625,0.841981,0.428833,0.379050,0.493671,0.795116,0.351118,0.342955,0.270000
036,0.334470,0.811053,0.418314,0.331957,0.565401,0.787257,0.345459,0.330427,0.150000
037,0.372935,0.788068,0.391262,0.298740,0.566807,0.764231,0.312389,0.298459,0.110000
038,0.341319,0.827277,0.411290,0.348293,0.502110,0.788002,0.350668,0.321156,0.170000
039,0.362168,0.808180,0.392073,0.316609,0.514768,0.770236,0.319845,0.297707,0.220000
040,0.322018,0.756971,0.405785,0.287303,0.690577,0.792178,0.328579,0.327589,0.130000
041,0.366392,0.759338,0.358559,0.263751,0.559775,0.739739,0.264013,0.258380,0.200000
042,0.345130,0.799392,0.398378,0.311410,0.552743,0.778327,0.321908,0.306254,0.160000
